event_id,event_label,original_final_value,vfinal_final_value,explainable_final_value,explainable_v1_5_final_value,vr_original_v2_final_value,vr_v2_vs_original,v15_vs_v13,v15_vs_v2,explainable_max_dd,explainable_v1_5_max_dd,vr_v2_max_dd,explainable_avg_exposure,explainable_v1_5_avg_exposure,vr_v2_avg_exposure,explainable_buy_count,explainable_v1_5_buy_count,vr_v2_buy_count,explainable_pool_used_pct,explainable_v1_5_pool_used_pct,vr_v2_pool_used_pct,vr_v2_defense_count,expl_snap_window_days,expl_snap_avg_exposure,expl_snap_total_deploy,expl_snap_buy_count,expl_snap_first_buy_bar,expl_snap_capture_score,v15_snap_window_days,v15_snap_avg_exposure,v15_snap_total_deploy,v15_snap_buy_count,v15_snap_first_buy_bar,v15_snap_capture_score,v2_snap_window_days,v2_snap_avg_exposure,v2_snap_total_deploy,v2_snap_buy_count,v2_snap_first_buy_bar,v2_snap_capture_score
2011-06,2011 Debt Ceiling,15311.4,15809.79,10876.97,10876.97,15603.47,292.07,0,-4726.5,-49.98,-49.98,-43.42,43.93,43.93,98.31,11,11,12,1174.05,1174.05,99.96,0,2,97.59,0,0,,0.39,2,97.59,0,0,,0.39,2,94.14,0,0,,0.377
2020-02,2020 Covid Crash,10909.34,11245.2,10906.08,10906.08,10895.52,-13.82,0,10.56,-16.25,-16.25,-60.16,49.47,49.47,99.95,10,10,10,917.3,917.3,99.79,0,2,32.05,0,0,,0.128,2,32.05,0,0,,0.128,2,99.97,0,0,,0.4
2021-12,2022 Fed Bear,6811.37,14439.79,16127.05,16127.05,6763.61,-47.76,0,9363.44,-31.85,-31.85,-80.93,14.69,14.69,99.46,13,13,8,3068.31,3068.31,98.9,0,2,67.19,0,0,,0.269,2,67.19,0,0,,0.269,2,95.86,0,0,,0.383
2025-01,2025 Tariff Shock,17301.34,19941.48,16338.71,16338.71,17303.87,2.53,0,-965.16,-34.68,-34.68,-55.38,52.22,52.22,96.82,10,10,5,1665.4,1665.4,96.1,0,2,53.12,0,0,,0.212,2,53.12,0,0,,0.212,2,95.06,0,0,,0.38
