engine,snapback_success_rate,snapback_score_mean,snapback_score_p25,snapback_score_p75,snapback_avg_exposure_mean
explainable_v1_3,79.6,0.472,0.3,0.612,44.529
vr_original_v2,100,0.68,0.685,0.698,94.752
